time,open,high,low,close,volume
2023-12-14,55.78,56.12,55.78,56.05,841937
2023-12-15,55.78,56.05,54.59,54.59,2531751
2023-12-18,54.99,55.05,54.12,54.12,1805761
2023-12-19,54.12,54.12,53.19,53.92,1964252
2023-12-20,53.92,53.99,53.46,53.86,1873375
2023-12-21,53.79,53.79,53.33,53.72,2031463
2023-12-22,53.72,53.86,53.39,53.72,1581238
2023-12-25,53.72,54.32,53.59,54.32,1303639
2023-12-26,54.45,54.99,54.45,54.99,973002
2023-12-27,55.05,55.25,54.79,54.92,900989
2023-12-28,54.92,55.19,54.72,54.99,704577
2023-12-29,55.45,55.72,53.33,53.33,1623585
2024-01-02,55.05,55.52,54.59,55.45,1788420
2024-01-03,55.45,56.12,54.99,56.12,1374590
2024-01-04,56.12,57.24,55.78,57.04,2660779
2024-01-05,57.04,57.24,56.91,57.24,1181807
2024-01-08,57.31,57.64,57.31,57.64,1611721
2024-01-09,57.64,58.37,57.64,58.31,1928985
2024-01-10,58.31,59.44,57.91,59.44,1800328
2024-01-11,59.44,59.77,58.84,59.3,1491432
2024-01-12,58.51,59.44,58.04,58.9,1911967
2024-01-15,59.1,59.83,59.04,59.77,1916364
2024-01-16,59.1,59.83,59.04,59.77,1368816
2024-01-17,59.1,60.43,59.1,60.37,1581258
2024-01-18,60.37,60.56,59.77,60.5,1424696
2024-01-19,60.43,61.76,60.03,61.49,1477733
2024-01-22,62.09,62.09,61.1,61.1,1048242
2024-01-23,61.16,61.36,60.03,60.76,1259446
2024-01-24,60.83,61.1,60.37,60.5,746187
2024-01-25,60.5,60.83,60.23,60.43,505031
2024-01-26,60.83,61.1,60.7,61.1,953670
2024-01-29,60.96,61.1,60.37,60.56,732044
2024-01-30,60.56,60.56,59.83,60.43,889895
2024-01-31,60.17,60.17,58.77,58.77,947351
2024-02-01,58.44,59.9,58.44,59.63,598963
2024-02-02,59.17,60.1,59.17,59.97,734186
2024-02-05,59.9,60.17,59.37,59.77,1950335
2024-02-06,59.97,60.17,59.17,59.44,1353403
2024-02-07,59.77,60.3,59.3,59.77,1372449
2024-02-15,59.77,60.23,59.17,59.7,1047830
2024-02-16,59.7,59.9,59.44,59.5,735346
2024-02-19,59.7,60.1,59.3,59.9,1046679
2024-02-20,59.83,60.7,59.37,60.63,1405753
2024-02-21,60.9,60.9,60.1,60.56,1369259
2024-02-22,60.17,60.43,59.44,59.44,1224789
2024-02-23,59.44,60.7,59.04,59.04,1802815
2024-02-26,59.04,59.77,59.04,59.44,722488
2024-02-27,59.5,60.56,59.17,60.5,1608348
2024-02-28,60.43,64.68,60.03,64.68,4227766
2024-02-29,65.41,66.74,64.62,64.62,1902870
2024-03-01,65.21,65.21,63.02,64.62,2383117
2024-03-04,65.08,65.08,63.49,63.75,1643680
2024-03-05,64.15,64.15,63.22,63.42,1366903
2024-03-06,63.42,64.28,63.15,63.49,2072535
2024-03-07,63.69,64.68,63.42,63.62,2364334
2024-03-08,63.69,64.08,63.15,63.15,2231150
2024-03-11,63.15,63.75,62.49,62.49,1842420
2024-03-12,62.49,63.02,62.42,62.69,1108496
2024-03-13,63.02,64.08,62.62,63.75,3126592
2024-03-14,63.75,63.82,62.82,63.09,2322431
2024-03-15,63.09,63.09,62.36,62.42,2304560
2024-03-18,62.62,62.76,61.43,61.76,1843874
2024-03-19,61.43,62.09,61.43,61.43,870431
2024-03-20,61.43,62.49,61.43,61.89,899448
2024-03-21,62.42,63.42,62.42,63.22,1454765
2024-03-22,63.22,64.28,63.22,64.02,1846861
2024-03-25,63.09,64.35,62.49,63.55,1370504
2024-03-26,63.75,64.15,63.62,63.95,736873
2024-03-27,63.88,63.88,63.49,63.62,1047647
2024-03-28,63.88,64.02,63.49,63.55,1233566
2024-03-29,63.69,63.69,63.02,63.02,801942
2024-04-01,63.02,63.75,62.89,63.22,1222710
2024-04-02,63.15,63.22,62.36,62.76,970357
2024-04-03,62.69,62.96,62.29,62.29,1323149
2024-04-04,63.02,63.75,62.69,63.75,2024326
2024-04-05,62.96,63.49,62.56,63.02,780020
2024-04-08,63.02,63.29,62.56,63.02,865357
2024-04-09,63.09,63.35,62.56,62.62,688518
2024-04-10,62.62,62.82,62.49,62.76,738740
2024-04-11,62.42,62.82,62.09,62.42,778946
2024-04-12,62.76,63.42,62.29,62.82,846008
2024-04-15,62.82,64.08,61.1,61.1,1902194
2024-04-16,62.29,62.29,60.1,60.43,1860102
2024-04-17,60.56,61.16,59.44,60.1,1454446
2024-04-19,59.77,60.37,59.57,60.1,1326423
2024-04-22,60.1,60.7,59.9,60.17,999830
2024-04-23,60.17,60.56,59.24,59.83,1565162
2024-04-24,60.43,60.5,59.83,60.17,1926287
2024-04-25,60.17,61.69,60.1,60.43,1236861
2024-04-26,60.9,61.96,60.56,60.56,1699786
2024-05-02,61.16,61.43,60.5,61.03,933709
2024-05-03,61.36,62.03,60.96,61.43,1472206
2024-05-06,61.69,61.96,61.56,61.76,1148815
2024-05-07,62.03,62.49,61.69,61.69,1155689
2024-05-08,61.56,61.89,61.16,61.76,1247171
2024-05-09,61.69,62.03,61.29,61.43,607990
2024-05-10,61.56,61.56,60.9,61.1,824888
2024-05-13,61.16,61.36,60.1,60.43,1234518
2024-05-14,60.5,60.83,60.1,60.17,819950
2024-05-15,60.43,60.63,60.3,60.43,884744
2024-05-16,61.1,61.56,60.76,61.49,1715536
2024-05-17,61.49,61.49,60.9,60.96,1086438
2024-05-20,61.29,61.76,60.96,61.03,1045431
2024-05-21,61.03,61.1,60.23,60.5,1488654
2024-05-22,60.76,60.9,60.23,60.23,1349994
2024-05-23,60.23,60.76,60.1,60.43,1318403
2024-05-24,60.43,60.43,59.77,59.9,2243441
2024-05-27,60.03,60.17,59.57,59.9,1060054
2024-05-28,59.63,60.23,59.63,60.23,1351470
2024-05-29,60.3,60.43,59.63,59.63,1188182
2024-05-30,59.44,59.57,58.77,58.84,2358180
2024-05-31,58.9,59.1,57.91,57.91,3927010
2024-06-03,58.44,59.3,58.44,58.57,2111127
2024-06-04,59.04,59.24,58.64,58.9,1818442
2024-06-05,58.9,59.44,58.84,58.97,1886226
2024-06-06,59.04,59.57,58.97,59.1,1702865
2024-06-07,59.17,59.57,58.77,58.77,1131101
2024-06-10,59.04,59.24,58.37,58.44,2643949
2024-06-11,58.64,58.71,57.84,57.91,2256534
2024-06-12,58.04,59.24,57.78,58.9,2251490
2024-06-13,59.04,59.17,58.71,58.71,1603414
2024-06-14,58.77,59.17,58.11,58.11,2484887
2024-06-17,58.17,58.31,57.84,57.84,2295281
2024-06-18,58.11,58.77,57.84,57.84,1372946
2024-06-19,57.97,58.11,57.44,57.51,2176749
2024-06-20,57.51,57.51,56.85,57.11,2654038
2024-06-21,57.18,57.58,56.78,57.11,1809985
2024-06-24,57.11,58.04,56.78,56.78,2153682
2024-06-25,56.91,57.58,56.78,56.78,1567779
2024-06-26,57.04,57.31,56.58,56.58,1709970
2024-06-27,56.58,57.11,56.58,56.58,1425080
2024-06-28,57.11,57.11,56.45,56.58,1114085
