time,open,high,low,close,volume
2023-12-14,59.29,59.72,59.12,59.29,1463160
2023-12-15,59.38,59.46,59.03,59.03,3741675
2023-12-18,59.03,59.12,58.08,58.08,3518371
2023-12-19,58.16,58.42,57.47,58.08,3066185
2023-12-20,58.08,59.12,58.08,59.03,2605917
2023-12-21,58.86,59.2,58.77,58.77,2587654
2023-12-22,58.77,59.03,58.51,58.6,2147607
2023-12-25,58.6,59.55,58.6,58.86,2675110
2023-12-26,59.2,59.38,58.94,58.94,1977559
2023-12-27,59.38,59.56,58.94,58.94,1628408
2023-12-28,58.94,59.82,58.94,59.82,2410778
2023-12-29,59.99,59.99,59.03,59.03,1956751
2024-01-02,59.56,59.82,59.29,59.64,2144983
2024-01-03,59.73,60.25,59.38,60.25,1891530
2024-01-04,60.34,60.69,60.25,60.25,3403997
2024-01-05,60.52,60.52,59.82,60.08,1477880
2024-01-08,60.25,60.34,59.56,59.56,2399171
2024-01-09,59.56,59.82,59.38,59.47,2461700
2024-01-10,59.47,59.47,58.86,58.94,3010809
2024-01-11,58.94,59.82,58.94,59.29,2085776
2024-01-12,59.03,59.29,58.51,58.68,3286730
2024-01-15,58.68,58.94,58.51,58.51,2228627
2024-01-16,58.51,58.86,58.25,58.86,2074925
2024-01-17,58.94,59.29,58.51,58.6,1829118
2024-01-18,58.77,59.21,58.77,58.86,1230002
2024-01-19,58.86,59.91,58.86,59.38,2621840
2024-01-22,59.38,59.99,59.38,59.64,1961559
2024-01-23,59.64,59.64,59.03,59.12,2113751
2024-01-24,59.21,59.38,58.68,58.77,2085392
2024-01-25,58.86,58.94,58.42,58.42,2662473
2024-01-26,58.51,58.94,58.51,58.51,1677432
2024-01-29,58.6,58.77,58.42,58.51,1734356
2024-01-30,58.77,58.77,58.42,58.42,1791324
2024-01-31,58.68,59.56,58.42,58.51,4021787
2024-02-01,58.68,59.21,58.68,58.94,2500699
2024-02-02,58.94,59.12,58.51,58.86,2613144
2024-02-05,58.86,59.56,58.68,59.38,3568444
2024-02-06,59.47,59.56,59.03,59.03,2394933
2024-02-07,59.03,59.29,58.68,59.03,2737292
2024-02-15,59.03,59.38,58.68,59.03,3880447
2024-02-16,59.21,61.39,58.94,61.13,11120422
2024-02-19,61.91,63.4,61.74,62.79,6660129
2024-02-20,62.61,63.22,62.26,62.44,4390643
2024-02-21,62.44,62.79,62.0,62.26,3593123
2024-02-22,62.26,63.49,62.09,62.53,4652126
2024-02-23,62.7,63.49,62.0,62.0,6146121
2024-02-26,62.0,62.61,61.74,62.0,3050150
2024-02-27,62.18,63.22,62.09,62.87,5285311
2024-02-28,63.22,63.4,62.44,63.05,3422219
2024-02-29,63.4,64.01,62.53,62.87,6543917
2024-03-01,62.96,62.96,62.18,62.44,4399953
2024-03-04,62.7,63.49,62.53,62.87,5018814
2024-03-05,62.87,63.75,62.61,63.75,5443242
2024-03-06,64.01,64.18,62.7,62.7,4837251
2024-03-07,62.61,62.96,62.26,62.87,5070038
2024-03-08,62.96,63.66,61.13,61.13,7364624
2024-03-11,61.56,62.26,61.13,61.39,4214115
2024-03-12,61.48,61.65,61.13,61.13,3847561
2024-03-13,61.22,61.91,61.13,61.83,5648587
2024-03-14,62.0,62.26,61.39,61.56,5449322
2024-03-15,62.01,62.01,60.77,60.86,4857330
2024-03-18,60.86,61.12,59.8,60.06,6803665
2024-03-19,60.59,60.59,59.97,59.97,3166304
2024-03-20,59.97,60.68,59.71,60.15,3551272
2024-03-21,60.33,60.59,60.06,60.51,4910550
2024-03-22,60.68,60.77,59.97,59.97,6070254
2024-03-25,60.06,60.33,59.36,59.53,5459681
2024-03-26,59.62,60.06,59.53,59.89,2507194
2024-03-27,60.15,60.15,59.71,59.89,2639932
2024-03-28,59.89,60.51,59.8,59.89,4474441
2024-03-29,60.51,60.51,59.71,59.8,3487674
2024-04-01,59.8,59.89,59.27,59.27,4996398
2024-04-02,59.27,59.62,59.0,59.53,4325527
2024-04-03,59.53,59.53,59.0,59.0,5054063
2024-04-04,59.0,60.51,59.0,60.33,7477825
2024-04-05,60.33,60.33,59.89,60.06,4237214
2024-04-08,60.15,60.15,59.18,59.27,3671802
2024-04-09,59.36,59.53,59.09,59.27,2518780
2024-04-10,59.36,59.53,59.09,59.09,2767420
2024-04-11,59.0,59.18,58.82,58.91,2950689
2024-04-12,59.09,59.36,58.91,59.0,2511089
2024-04-15,59.0,59.0,57.41,57.41,5766677
2024-04-16,57.41,57.5,55.73,56.61,7137771
2024-04-17,56.97,57.41,56.79,56.79,4593232
2024-04-19,56.79,56.97,55.99,56.79,4521513
2024-04-22,57.23,57.76,56.61,56.61,2038048
2024-04-23,56.79,56.88,55.91,56.17,2020719
2024-04-24,56.61,56.88,56.17,56.61,2403394
2024-04-25,56.61,57.32,56.52,57.23,1918445
2024-04-26,57.23,58.21,57.06,57.5,2944790
2024-05-02,57.85,57.94,57.41,57.85,2566088
2024-05-03,58.03,58.38,57.94,58.03,1969178
2024-05-06,58.21,58.74,57.94,58.21,2264163
